MPID,Description
SCSS,"STONECASTLE SECURITIES, LLC"
STNH,"STONEHAVEN, LLC"
SIII,STONEWALL INVTMTS INC
STNN,"STONNINGTON GROUP, LLC"
STHA,STORMHARBOUR SECURITIES
SCIL,STRATEGIC CAP INVTMTS LLC
STPS,"STRATEGIC POINT SECURITIES, LLC"
CPCF,"STRONGTOWER FINANCIAL, INC."
STJT,"SUCCESS TRADE SECURITIES, INC."
STSS,"SUCCESS TRADE SECURITIES, INC."
VERN,"SUCESS TRADE SECURITIES, INC."
SUMM,SUMMER STREET RESEARCH PARTNERS
SUMT,SUMMIT BROKERAGE SERVICE INC.
SMPR,"SUMMIT BROKERAGE SERVICES, INC"
SUMC,SUMMIT CAPITAL TRADING INC.
SEMQ,SUMMIT EQUITIES
SIGS,"SUMMITALLIANCE SECURITIES, LLC"
SMRD,"SUMRIDGE PARTNERS, LLC"
SBSI,SUN'S BROTHERS SECURITIES INC.
SBLT,"SUNBELT SECURITIES, INC."
SNRC,SUNRISE SECURITIES CORP
SSET,SUNSET FINANCIAL SERVICES INC.
SUST,"SUNSTREET SECURITIES, LLC"
SSIN,"SUNTRUST INVESTMENT SERVICES, INC."
STCM,"SUNTRUST ROBINSON HUMPHREY, INC."
SFSI,"SUPERIOR FINANCIAL SERVICES, INC."
MESI,"SURETY FINANCIAL SERVICES, INC."
CAST,SURGE TRADING INC.
SUSQ,SUSQUEHANNA CAPITAL GROUP
SUFI,"SUSQUEHANNA FINANCIAL GROUP, LLP"
SUTT,SUTTER SECURITIES INCORPORATED
SVBS,SVB SECURITIES
SWBC,SWBC INVESTMENT SERVICES
SWEN,SWENEY CARTWRIGHT & CO.
FRCM,SWISS RE CAPITAL MARKETS CORPORATION
SWRD,SWORD SEC CORP
BTSS,SWS FINL
SCYA,SYCAMORE FINANCIAL GROUP
SFCO,"SYMETRA INVESTMENT SERVICES, INC."
SYMP,SYMPHONIC SECURITIES LLC
SYCA,SYNDICATED CAPITAL INC.
SYNG,"SYNERGY INVESTMENT GROUP, LLC"
CBTD,"SYNOVUS SECURITIES, INC."
PICE,T ROWE PRICE INVESTMENT SVCS INC
TRWN,"T.R. WINSTON & COMPANY, LLC"
TSPI,T.S. PHILLIPS INVESTMENTS INC.
TAGG,TAG SECURITIES INC
TAFI,"TAHOE FIXED INCOME, LLC"
TCFF,TAKE CHARGE FINL
TALR,TAYLOR SEC INC
TBCS,"TBC SECURITIES, LLC"
TCAN,TC ADVISORS NETWORK INC
TCTD,"TCT SECURITIES AND DERIVATIVES, LLC"
SWIM,"TD AMERITRADE, INC."
TDAR,"TD AMERITRADE, INC."
WATH,"TD AMERITRADE, INC."
TDPA,TD SECURITIES (USA) LLC
TDSI,TD SECURITIES (USA) LLC
TFSL,TECKMEYER FINANCIAL SERVICES LLC
TSGI,"TEJAS SECURITIES GROUP, INC."
TEJS,"TEJAS, INC."
TIBS,"TELEMUS INVESTMENT BROKERS, LLC"
TFIS,TEMPLETON/FRANKLIN INVESTMENT SVCS INC.
TRMS,"TERMINUS SECURITIES, LLC"
TEST,TEST
TFSS,TFS SEC INC
BAKR,"THE BAKER GROUP, LLC"
BNCH,"THE BENCHMARK COMPANY, LLC"
BHSE,"THE BOND HOUSE, INC."
BUCK,THE BUCKINGHAM RESEARCH GROUP INC.
CGSE,THE CAP GRP SEC INC
DRCY,THE DARCY GRP LLC
DRAT,"THE DRATEL GROUP, INC."
FIGG,"THE FIG GROUP, LLC"
FLCO,THE FRAZER LANIER CO INC
JGII,THE GARBACZ GRP INCORP
GMSG,THE GMS GROUP                         (F
HUCO,THE HUNTINGTON INVESTMENT CO
ICEN,THE INVESTMENT CENTER
TKGA,THE KELT GROUP
LEAD,THE LEADERS GROUP
ONES,THE O.N. EQUITY SALES CO
EQTS,"THE OAK RIDGE FINANCIAL SVCS GRP, INC."
PRCO,THE PRINCERIDGE GROUP LLC
TSCI,THE SEC CTR INC
TSFA,"THE STRATEGIC FINANCIAL ALLIANCE, INC."
TSIB,"THE STREET, INC."
JGFF,"THE WINDMILL GROUP, INC."
TMCC,THEMUNICENTER LLC
MCTR,THEMUNICENTER.COM
THNK,THINKEQUITY LLC
REYN,THOMAS P. REYNOLDS SECURITIES LTD.
PFSQ,THOMASLLOYD CAPITAL LLC
TDCO,THOMPSON DAVIS & CO INC
TATA,"THORNES & ASSOCIATES, INC. INVESTMENT SE"
THOR,THORNHILL SEC
TBRD,THOROUGHBRED FINLSVS LLC
TRSH,THRASHER AND COMP INC
AALC,THRIVENT INVESTMENT MANAGEMENT INC.
TMBI,"THURSTON, SPRINGER, MILLER, HERD & TITAK"
CREF,TIAA-CREF INDIVIDUAL & INSTITUTIONAL SRV
FORT,TICONDEROGA SECURITIES LLC
TIGR,TIGER SECURITIES LLC
TMBR,TIMBER HILL LLC
TIMC,TIMECAPITAL SECURITIES CORP.
JSMI,TITAN SECURITIES
TOCQ,TOCQUEVILLE SECURITIES L.P.
TODS,TOD'S POINT CAPITAL LLC
TORY,TORREY PINES SECURITIES INC.
TCPX,"TOUSSAINT CAPITAL PARTNERS, LLC"
TRSQ,TOWER SQ SEC INC
TWCM,"TOWERS WATSON CAPITAL MARKETS, INC."
TOYS,TOYOTA FINANCIAL SERVICES SECURITIES USA
TDSC,TRACK DATA SECURITIES
TPMR,TRADE - PMR INC.
YAMN,"TRADE MANAGE CAPITAL, INC."
TKNG,TRADEKING
BELO,"TRADESPOT MARKETS, INC."
FILL,"TRADESTATION SECURITIES, INC."
TRAD,"TRADESTATION SECURITIES, INC."
TWGR,TRADEWIRE SECURITIES LLC
TWSE,"TRADEWIRE SECURITIES, LLC"
AOSD,TRADINGBLOCK
BLOC,TRADINGBLOCK
ASLB,"TRADITION ASIEL SECURITIES, INC."
INSC,"TRANSAMERICA FINANCIAL ADVISORS, INC"
TRSD,"TRANSCEND CAPITAL, LP"
TREA,TREASURE FINANCIAL CORP.
TRSR,TRI STAR FINL
TRID,TRIAD ADVISORS INC
TIAB,TRIAD SECURITIES CORP
TIAD,TRIAD SECURITIES CORP.
TRIN,TRIANGLE SECURITIES
TCOR,"TRICOR FINANCIAL, LLC"
TRIP,TRIDENT PARTNERS LTD.
TRUN,TRIUNE CAPITAL ADVISORS
TRUM,TRIUNE CAPITAL ADVISORS LLC
TRUX,TRIUNE CAPITAL ADVISORS LLC
TRKA,TROIKA DIALOG USA INC
TRUB,"TRUBEE COLLINS & CO., INC."
TMII,"TRUSTCORE INVSTMENTS, INC."
LADY,TRUSTFIRST INC
CFGM,"TRUSTMONT FINANCIAL GROUP, INC."
PATR,"TULLET PREBON FINANCIAL SERVICES, LLC"
PBON,"TULLET PREBON FINANCIAL SERVICES, LLC"
TWEE,"TWEEDY, BROWNE COMPANY LLC"
TFSC,TWENTY-FIRST SECURITIES CORP.
TWSF,TWS FINANCIAL
USDB,"U.S. BROKERAGE, INC."
USFB,"U.S. FINANCIAL INVESTMENTS, INC."
USFI,"U.S. FINANCIAL INVESTMENTS, INC."
PWPR,UBS FINANCAL SERVICES INCORPORATED OF P.
PWJC,UBS FINANCIAL SERVICES INC.
UBSW,UBS SECURITIES LLC
UHLM,"UHLMANN PRICE SECURITIES, LLC"
ULAT,"ULTRALAT CAPITAL MARKETS, INC."
PRIE,"UMB FINANCIAL SERVICES, INC."
UMBF,"UMB FINANCIAL SERVICES, INC."
ATKC,"UMPQUA INVESTMENTS, INC."
USCO,UNDERHILL SECURITIES CORP.
BVCM,"UNICREDIT CAPITAL MARKETS, LLC"
VSXE,UNIFIED FINL SEC NC
IVOL,UNION CAPITAL COMPANY
MKTI,"UNIONBANC INVESTMENT SERVICES, LLC"
UAMS,"UNITED AMERICAN SECURITIES, INC"
UBSI,UNITED BROKERAGE SECURITIES INC.
UCMI,"UNITED CAPITAL MARKETS, INC."
UPLN,UNITED PLANNERS' FINANCIAL SERVICES OF A
FNPN,UNIVEST INVMT INC
UNEX,"UNX, LLC"
FBSB,"US BANCORP INVESTMENTS, INC."
USBT,US BOSTON CAPITAL CORP
USIC,US SECURITIES INTERNATIONAL CORP.
USSI,US STERLING SECURITIES CORP.
USAF,USA FINANCIAL SEC CORP
LIIS,"USAA FINANCIAL ADVISORS, INC."
USAA,USAA INVESTMENT MANAGEMENT COMPANY
USCA,"USCA SECURITIES, LLC"
USIS,USI SEC INC
UVST,"UVEST FINANCIAL SERVICES GROUP, INC."
FMIS,UW INVESTMENT SERVICES
VAIL,VAIL SECURITIES INVESTMENTS INC.
TORO,"VALDEZ & MORENO, INC."
AGFA,"VALIC FINANCIAL ADVISORS, INC"
VLYF,VALLEY FORGE ASSET MGMT CORP
VALI,VALLEY NATIONAL INVESTMENTS
VALM,VALMARK SECURITIES CIN.
VFSL,VALOR FINANCIAL SECURITIES LLC
FINA,"VALORES FINAMEX INTERNATIONAL, INC."
VCLM,VAN CLEMENS & CO. INCORPORATED
VKMI,VAN KAMPEN FUNDS INC.
VBLT,"VANDERBILT SECURITIES, LLC"
VNDM,VANDHAM SECURITIES CORP.
VCAP,VANGUARD CAPITAL
VGRD,VANGUARD MARKETING CORPORATION
VASL,VASILOU & CO. INC.
VCSI,VAUGHN & CO. SECURITIES INC.
VBCS,VBC SEC LTD LIABILITY CO
VANQ,"VCG SECURITIES , LLC"
VCMS,"VCM SECURITIES, LLC"
VMEX,VECTORGLOBAL WMG
VENE,VENECREDIT SECS INC
VERI,VERITRUST FINANCIAL LLC
VEST,VESTECH SEC
VSTR,"VESTOR CAPITAL SECURITIES, LLC"
IBSI,"VFG SECURITIES, INC."
VFIN,VFINANCE INVESTMENTS
VFNL,"VFINANCE INVESTMENTS, INC."
VTRD,VIEW TRADE SECURITIES
VTDT,"VIEW TRADE SECURITIES, INC"
VSLP,VINING SPARKS
VBSL,"VISION BROKERAGE SERVICES, LLC"
VSIN,VISION FINANCIAL MARKETS LLC
VISI,VISION INVTMT SVS INC
MANI,VM MANNING & CO
VORP,VORPAHL WING SECS
VSRF,VSR FINANCIAL SERVICES INC.
VULK,VULCAN SECURITIES LLC
MELL,W.H. MELL ASSOC
REAV,"W.H. REAVES & CO., INC."
HAMR,W.R. HAMBRECHT & CO
HAMC,"W.R. HAMBRECHT + CO., LLC"
WRRF,"W.R. RICE FINANCIAL SERVICES, INC."
WRTC,"W.R.TAYLOR AND COMPANY, LLC."
FNET,WACHOVIA SECURITIES FINANCIAL NETWORK
WACL,WACHTEL & CON INC
UNTD,WADDELL & REED INC.
WABR,WALL STREET ACCESS
WSAP,WALL STREET ACCESS
WSAX,WALL STREET ACCESS
WSFG,WALL STREET FINANCIAL GROUP
WAMC,WALL STREET MONEY CENTER CORP
WNUT,WALNUT STREET SECURITIES INC.
WJCO,WALTON JOHNSON & CO.
WANG,WANG INVESTMENT ASSOCIATES
WARF,WARD'S FINANCIAL SERVICES
WSCC,WASHINGTON SECURITIES CORP.
WTFD,WATERFORD CAPITAL INC.
WTRI,WATERFORD INVESTORS SERVICES INC.
SALT,WATKINS FINANCIAL SVCS INC
WAVD,WAVELAND CAPITAL PARTNERS LLC
WAYN,WAYNE HUMMER INVESTMENTS LLC
WBBC,"WBB SECURITIES, LLC"
WENT,"WE NIGHTINGALE BROKERAGE SERVICES, INC."
WEAV,"WEAVER TIDWELL CAPITAL, LLC"
WEDB,"WEDBUSH SECURITIES, INC."
WGWD,"WEDGEWOOD PARTNERS, INC."
WEED,"WEEDEN & CO., L.P."
WESC,WELIINGTON SHIELDS & CO. LLC
WACC,"WELLER, ANDERSON & CO LTD E"
WLFT,WELLFLEET INVMTS LLC
WSIX,WELLINGTON SEC INC
RAGN,"WELLS FARGO ADVISORS, LLC"
WRET,"WELLS FARGO ADVISORS, LLC"
WFIS,WELLS FARGO INSTITUTIONAL SECS LLC
NORW,"WELLS FARGO SECURITIES, LLC"
WCHV,"WELLS FARGO SECURITIES, LLC"
WELL,"WELLS NELSON & ASSOCIATES, L.L.C"
WCOM,WESCOM FINANCIAL SERVICES
WUSA,WEST AMERICA SECURITIES CORP.
CBII,WESTBANCO SEC INC
WSTC,WESTCO INVESTMENT CORP
WEGP,"WESTERN EQUITY GROUP, INC."
WEST,"WESTERN GROWERS FINANCIAL SERVICES, INC."
WISI,"WESTERN INTERNATIONAL SECURITIES, INC."
WSLK,"WESTLAKE SECURITIES, LLC"
WLBP,WESTLB SECURITIES INC.
WFFS,WESTMINSTER FINL SEC INCORP
WESX,"WESTOR CAPITAL GROUP, INC."
WPCC,"WESTPARK CAPITAL, INC."
WCMS,"WESTPORT CAPITAL MARKETS, LLC"
WRIS,"WESTPORT RESOURCES INVESTMENT SERVICES,"
WSRK,WESTROCK CAPITAL MANAGEMENT INC.
WMBU,"WFG INVESTMENTS, INC."
WFPS,WFP SECS
WFSL,"WFS, LLC"
WEEL,WHEELHOUSE SECURITIES CORPORATION
WTKR,WHITAKER SECURITIES LLC
WTSC,WHITAKER SECURITIES LLC
WMCL,"WHITE MOUNTAIN CAPITAL, LLC"
WHPA,WHITE PACIFIC SECURITIES
WPSI,WHITE PACIFIC SECURITIES
WPAC,"WHITE PACIFIC SECURITIES, INC."
QWER,"WHITEHALL-PARKER SECURITIES, INC."
WSTN,WHITESTONE SECURITIES INC.
WHIT,WIC CORP.
WILB,"WILBANKS SECURITIES, INC."
QCMG,"WILDWOOD CAPITAL SECURITIES, INC."
WBRO,"WILEY BROTHERS & CO.,INC."
BURN,"WILLIAM C. BURNSIDE & COMPANY, INC."
HOPK,WILLIAM E HOPKINS & ASSOC INC
WSSS,WILLIAM SMITH & CO.
WLMS,"WILLIAMS CAPITAL GROUP, L.P."
WTCO,WILLIAMS TRADING LLC
WSEC,"WILLIS SECURITIES, INC."
WCIG,"WILLOW COVE INVESTMENT GROUP, INC."
BALE,WILMINGTON BROKERAGE SERVICES COMPANY
WBSC,WILMINGTON BROKERAGE SVS CO
WCSC,"WILMINGTON CAPITAL SECURITIES, LLC"
WDCO,"WILSON-DAVIS & CO., INC."
WINC,"WINCHESTER GROUP, INC."
WFSI,"WINDHAM FINANCIAL SERVICES, INC."
WISC,"WINDSOR, SHEFFIELD & CO., INC."
WYNS,"WINSLOW EVANS & CROCKER, INC"
WIDS,WISCONSIN DISCOUNT SECURITIES CORP.
OAKB,"WOLF FINANCIAL MANAGEMENT, LLC"
WHBB,WOLFE & HURST BOND BROKERS
WBFS,WOODBURY FINL SVS INC
WODL,WOODLANDS SECS CORP
RDNK,"WOODSTOCK FINANCIAL GROUP, INC.."
WSCX,WORKMAN SECURITIES CORP.
AMRG,WORLD CAPITAL BROKERAGE
WCSO,"WORLD CHOICE SECURITIES, INC."
WEGI,WORLD EQUITY GROUP INC
WGSB,WORLD GROUP SECS
WORL,WORLD TRADE FINANCIAL CORPORATION
WORX,WORLD TRADE FINANCIAL CORPORATION
ACCI,WORTH FINANCIAL GROUP INC.
WRPI,WRP INVESTMENTS INCORP.
WHCO,"WULFF, HANSEN & CO."
FUND,"WUNDERLICH SECURITIES, INC."
WUND,"WUNDERLICH SECURITIES, INC."
WUNR,"WUNDERLICH SECURITIES, INC."
WUNT,"WUNDERLICH SECURITIES, INC."
EXTF,"WYNSTON HILL CAPITAL, LLC"
WYSE,WYSER-PRATTE & CO. INC.
YQST,"YIELDQUEST SECURITIES, LLC"
YOSE,"YORK SECURITIES, INC."
YSBI,"YORK STOCKBROKERS, INC."
YOST,YOUNG STOVALL & CO.
ZECO,"ZECCO TRADING, INC."
ZEUS,"ZEUS SECURITIES, INC."
ZION,"ZIONS DIRECT, INC."
ZDNF,"ZIONS INVESTMENT SECURITIES, INC."
ZIVI,ZIV INVESTMENT CO.
