MPID,Description
CWAA,"CONSTELLATION WEALTH ADVISORS, LLC"
CONS,CONSULTIVA SEC INC
CONT,CONTINENTAL INVESTOR SVS INC
CMMC,COOPER MALONE MCCLAIN INC
COOR,COORDINATED CAP SEC
CRBY,"CORBY CAPITAL MARKETS, INC."
CRTH,"CORINTHIAN PARTNERS, LLC"
CIII,CORNERSTONE INSTITUTIONAL INVESTORS
CINV,"CORPORATE INVESTMENTS GROUP, INC."
CCIS,CORRELL CO INV SVCS CORP
CORT,CORTVIEW CAPITAL SECURITIES LLC
COSE,"COSSE INTERNATIONAL SECURITIES, INC."
CGLN,"COUGHLIN & COMPANY, INC."
CCFS,COUNTRY CLUB FINL SVS
COSC,COURTLANDT SECURITIES CORPORATION
CMGT,COVENTRY CAP INC
COWR,"COWEN & CO., LLC"
COWN,"COWEN AND COMPANY, LLC"
COYL,COYLE SEC LLC
CPCG,CP CAPITAL SECURITIES
CLDS,CP INVESTMENTS INCORPORATED
CPIC,CPI CAPITAL
CRED,"CREDICORP SECURITIES, INC."
CRAG,CREDIT AGRICOLE CHEUVREUX NORTH AMERICA
LYON,CREDIT AGRICOLE SECURITIES (USA) INC.
CSPA,CREDIT SUISSE PRIVATE ADVISORS AG
FBCO,CREDIT SUISSE SECURITIES (USA) LLC
FBPC,CREDIT SUISSE SECURITIES (USA) LLC
CTSC,CREDITTRADE SECURITIES CORPORATION
CSAP,"CRESAP, INC."
CSNT,CRESCENT SEC GRP INC
CESI,CRESSMAN ESSER SEC INC
KCML,CRESTONE SECS LLC
CREW,CREWS & ASSOCIATES
CRII,"CRI SECURITIES, LLC"
CRON,CRONIN & CO.
SAAS,CROSS POINT CAPITAL LLC
CROW,CROWDER RUBICAM INC.
CWCO,"CROWELL, WEEDON & CO."
CCSS,CROWN CAP SEC LP
CRTG,CRT CAPITAL GROUP LLC
CSSC,"CSSC BROKERAGE SERVICES, INC."
UCCM,"CU INVESTMENT SOLUTIONS, INC."
CULL,CULLEN IVTMT GRP
CUMB,CUMBERLAND BROKERAGE CORPORATION
CUNA,CUNA BROKERAGE SVS
CLLC,CURRAN ADVISORY SERVICES
CURR,CURREN & COMPANY
CTWD,"CURTISWOOD CAPITAL, LLC"
CUSO,CUSO FINL SVS L.P.
CUSP,"CUSO PARTNERS, LLC"
CUTT,"CUTTER & COMPANY BROKERAGE, INC."
CUTW,"CUTTER & COMPANY, INC."
CUGS,"CUTTONE & CO., INC."
WECK,"D. WECKSTEIN & CO., INC."
DADA,D.A. DAVIDSON & CO.
DBMC,D.B. MCKENNA & CO INC
DMKC,D.M. KELLY & CO.
DABS,DABBAH SECS CORP
DRCO,"DAHLMAN ROSE & COMPANY, LLC"
DAWA,DAIWA CAPITAL MARKETS AMERICA INC.
DCMO,DAIWA CAPITAL MARKETS AMERICA INC.
DAKO,DAKOTA SECURITIES INTERNATIONAL
DSIS,DALTON STRATEGIC INVESTMENT SVCS INC
DAPA,DART PAPESH & CO INC
DARA,DARWOOD ASSOC INC
DAVA,DAVENPORT & COMPANY LLC
NOYS,DAVID A. NOYES & COMPANY
DHCO,DAVID HARRIS & CO INC
DLAE,"DAVID LERNER ASSOCIATES, INC."
DCMI,"DAVINCI CAPITAL MANAGEMENT, INC."
DAVS,"DAVIS SECURITIES, LLC"
DRMI,"DAVIS, MENDAL & REGENSTEIN, INC."
DAVY,DAVY SECURITIES
DJSA,DAWSON JAMES SECURITIES INC
DJSI,"DAWSON JAMES SECURITIES, INC"
KDEK,"DE KONING CAPITAL MARKETS, LLC"
DCMG,DEARBORN CAPITAL MARKETS GROUP
DBTX,DEBTX SEC INC
RAYG,DELTA EQUITY SERVICES CORP.
DTII,DELTA TRUST
DELT,DELTEC ASSET MANAGEMENT LLC
DLSI,"DEMPSEY LORD SMITH, LLC"
DESP,DESPAIN FINL CORP
DCSC,DESTINY CAP SEC CORP
FEDE,DETWILER FENTON & CO.
DBKS,DEUTSCHE BK SEC INC
DEVR,DEVENIR LLC
DWFN,DEWAAY FINANCIAL NETWORK LLC
DAVE,DIAMANT INVESTMENT CORPORATION
